Property,Rooms,Price_CAD,Neighbourhood,Municipality,city,CrimeRate_per_1000_2025_est,Incidents_2025,Population_2025_est,lat,lon
"Room for Rent in Bright, Beautiful Bright Shared Condo",1.0,1250,West End,Vancouver,City of Vancouver,45.751567643018106,2341.0,51167.64562617664,49.2897,-123.134
1 bdr furnished w/ private washroom available,1.0,1050,,Vancouver,City of Vancouver,,,,,
"PH 2Bdrm&Den FRNSHD,3Bath,2levels,1600sq ft. $2000/mnth",2.0,2000,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Roomstay ★ Commercial-Broadway station ★ Female only,,750,Grandview-Woodland,Vancouver,City of Vancouver,38.437729905448826,1239.0,32233.95354116277,49.271,-123.069
One large private room,1.0,850,,Vancouver,City of Vancouver,,,,,
Garden Suite Room for rent close to UBC: 41st and Crown St,1.0,1350,Dunbar-Southlands,Vancouver,City of Vancouver,10.352464282884444,241.0,23279.481427281164,49.238,-123.193
Convenient 1 Bedroom Near Nanaimo SkyTrain – Utilities Included,1.0,900,,Vancouver,City of Vancouver,,,,,
2 Rooms for Rent – Furnished Laneway House Near Langara (Nov–April),,1000,Oakridge,Vancouver,City of Vancouver,16.604947116994087,258.0,15537.53819161241,49.229,-123.116
House for subletting,,1500,,Vancouver,City of Vancouver,,,,,
1 room. Single occupancy. Women only please inquire.,1.0,785,,Vancouver,City of Vancouver,,,,,
"Furnished cozy bedroom with its own washroom, for female only",,900,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
Room for rent in nice home,1.0,950,,Vancouver,City of Vancouver,,,,,
Shared space in downtown apartment,,750,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Private room in high rise downtown apartment,1.0,1400,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
"Large room in shared basement, avail now",1.0,1000,,Vancouver,City of Vancouver,,,,,
\[Nov 1st\] One Ground Level Furnished Rooms near Joyce Station,,800,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
Private room,1.0,900,,Vancouver,City of Vancouver,,,,,
Large furnished room in a female shared suite near Canada Line,1.0,880,Oakridge,Vancouver,City of Vancouver,16.604947116994087,258.0,15537.53819161241,49.229,-123.116
Downtown west end furnished bedroom with private bathroom(3 month Min),,1500,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
"Nov. 1 Large, Furnished Rm in Funky Homestead Int'l Student Welcome",,800,Dunbar-Southlands,Vancouver,City of Vancouver,10.352464282884444,241.0,23279.481427281164,49.238,-123.193
1Private Room &Bath/Flat-Share$75p/d-$525p/wk//with Perks from:$90p/d,1.0,75,Sunset,Vancouver,City of Vancouver,24.678728045414253,961.0,38940.41857552585,49.219,-123.09
"UBC, Downtown, Langara College, Richmond",,1200,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Private room in a shared house around 29th Ave. Skytrain station,1.0,700,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
$850 PRIVATE FURNISHED ROOM ON MAIN FLOOR,1.0,0,,Vancouver,City of Vancouver,,,,,
Furnished 1 bedroom basement apartment shared with Male,1.0,550,,Vancouver,City of Vancouver,,,,,
Master Bedroom Available NOW Brand New House near Joyce Station,,1400,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
1 bedroom available NOW $850/month Near JOYCE Skytrain,1.0,850,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
FURINSHED PRIVATE ROOM ON MAIN FLOOR,1.0,850,,Vancouver,City of Vancouver,,,,,
Furnished private room on kingsway. 20 mins to downtown,1.0,850,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Two mins away from the nearest station.,,750,,Vancouver,City of Vancouver,,,,,
Furnished Private Large Bedroom on Cambie near Oakridge Skytrain,,850,Oakridge,Vancouver,City of Vancouver,16.604947116994087,258.0,15537.53819161241,49.229,-123.116
Second Bedroom For Rent in Dolce building at 535 Smithe,,1950,,Vancouver,City of Vancouver,,,,,
Premiere Location West End Furn. Room,1.0,1260,West End,Vancouver,City of Vancouver,45.751567643018106,2341.0,51167.64562617664,49.2897,-123.134
FURNISHED PRIVATE ROOM-ON MAIN FLOOR,1.0,850,,Vancouver,City of Vancouver,,,,,
One Bedroom Half-basement Suite for Rent,1.0,1550,Marpole,Vancouver,City of Vancouver,22.079676346268325,659.0,29846.451988929504,49.213,-123.127
"One BR - 41st Ave, Fraser St, 33rd Ave",,920,Victoria-Fraserview,Vancouver,City of Vancouver,11.581347627200088,416.0,35919.82672404872,49.221,-123.058
\[LOWERED\] Furnished Room for Rent in Family Home – Near Langara & UBC,1.0,799,West Point Grey,Vancouver,City of Vancouver,14.243414916364252,198.0,13901.160723227818,49.266,-123.206
"Students and Travellers - one private, single room available Nov 1",1.0,650,Strathcona,Vancouver,City of Vancouver,144.63402467684975,1829.0,12645.710468795049,49.279,-123.09
room for rent,1.0,1050,,Vancouver,City of Vancouver,,,,,
Room for rent,1.0,1050,,Vancouver,City of Vancouver,,,,,
Furnished 1 bedroom in a 2 bedroom place,1.0,1300,Fairview,Vancouver,City of Vancouver,34.62465584272648,1253.0,36188.08532542324,49.2636,-123.1242
Room Available – 5 Minutes from the Beach!,1.0,1300,West End,Vancouver,City of Vancouver,45.751567643018106,2341.0,51167.64562617664,49.2897,-123.134
Avail Now! 2 furn rooms in clean lrge lwr lvl- close to UBC,,750,Dunbar-Southlands,Vancouver,City of Vancouver,10.352464282884444,241.0,23279.481427281164,49.238,-123.193
"Unfurnished room for rent, available November 1st",1.0,650,Mount Pleasant,Vancouver,City of Vancouver,42.67540934979328,1646.0,38570.22170562902,49.256,-123.101
Luxury Apartment Master Bedroom for Rent at UBC campus,,1900,West Point Grey,Vancouver,City of Vancouver,14.243414916364252,198.0,13901.160723227818,49.266,-123.206
Furnished room for rent near skytrain,1.0,850,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
Furnished Room Available November 1st,1.0,1100,,Vancouver,City of Vancouver,,,,,
Avail Now -Bright 2nd floor furn. Rm. Close to Downtown,,825,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Large Furnished room for rent in West End Downtown Vancouver.,1.0,1200,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Vancouver bedroom 900,,900,,Vancouver,City of Vancouver,,,,,
"Subletting a Master Bedroom with office in Downtown, Nov16 or Dec1st",,2200,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Furnished Female room available in November,1.0,850,,Vancouver,City of Vancouver,,,,,
Furnished Room Near 29th Avenue Station | Utilities Included,1.0,775,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
Robson street -FEMALE only,,1000,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Large furnished room in a female shared suite near Canada Line train,1.0,880,Oakridge,Vancouver,City of Vancouver,16.604947116994087,258.0,15537.53819161241,49.229,-123.116
🏠 Private Bedroom for Rent – Denman & Alberni (Downtown Vancouver),,1350,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
1-Bedroom Apartment for Rent – Heart of Downtown Vancouver,,1900,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Den (small room for rent),1.0,800,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Room for rent,1.0,1150,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Room Near Nanaimo Sky Train Station,1.0,790,,Vancouver,City of Vancouver,,,,,
Room available in lovely East Van home!,1.0,704,Hastings-Sunrise,Vancouver,City of Vancouver,22.270749981846507,791.0,35517.438821986936,49.275,-123.047
Avail Now -Bright 2nd floor furn. Rm. Close to Downtown,,825,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Oct. 1st. Garden level. Furn rm. Close to downtown,,825,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Furnished Room with Private Washroom,1.0,1050,,Vancouver,City of Vancouver,,,,,
Main Floor House Roommate needed,,828,Grandview-Woodland,Vancouver,City of Vancouver,38.437729905448826,1239.0,32233.95354116277,49.271,-123.069
Newly furnished shared,,750,Sunset,Vancouver,City of Vancouver,24.678728045414253,961.0,38940.41857552585,49.219,-123.09
Large private room in shared basement. Avail now,1.0,1000,,Vancouver,City of Vancouver,,,,,
BEDROOM IN SOUTH VANCOUVER NEAR LANGARA,,950,Marpole,Vancouver,City of Vancouver,22.079676346268325,659.0,29846.451988929504,49.213,-123.127
Single Bedroom Available for Rent,,825,,Vancouver,City of Vancouver,,,,,
Room for Rent with single occupancy or shared double occupancy,1.0,750,,Vancouver,City of Vancouver,,,,,
Vancouver Shared Space Rooms Rental,,750,,Vancouver,City of Vancouver,,,,,
Room for rent $920,1.0,920,Sunset,Vancouver,City of Vancouver,24.678728045414253,961.0,38940.41857552585,49.219,-123.09
Private room with bathroom in 2b2b Short-Term,1.0,1600,,Vancouver,City of Vancouver,,,,,
"Need something in Kits Nov 1st or 15th? Fast to DT, VGH or UBC",,1500,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Avail. Now... Good sized garden lvl furn master bdrm cls. to dwntwn,,900,Shaughnessy,Vancouver,City of Vancouver,16.410187373255837,162.0,9871.91653058247,49.252,-123.142
Oakridge area 45th and Cambie,,875,Oakridge,Vancouver,City of Vancouver,16.604947116994087,258.0,15537.53819161241,49.229,-123.116
Fully Furnished 3 bdrm garden level suite Van. 900 sq. ft,3.0,1250,Kitsilano,Vancouver,City of Vancouver,21.14411837083925,941.0,44504.10196803348,49.268,-123.157
1 Room in Shared Garden Suite in Character Home,1.0,1400,Mount Pleasant,Vancouver,City of Vancouver,42.67540934979328,1646.0,38570.22170562902,49.256,-123.101
Furnished room near Marine Drive skytrain station,1.0,700,Marpole,Vancouver,City of Vancouver,22.079676346268325,659.0,29846.451988929504,49.213,-123.127
Private room available Downtown near Science World,1.0,1650,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Vancouver room for rent,1.0,550,,Vancouver,City of Vancouver,,,,,
Den downtown vancouver female only unit,,1005,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Private room available Nov 1st!,1.0,1000,,Vancouver,City of Vancouver,,,,,
Private room available NOW!,1.0,1500,,Vancouver,City of Vancouver,,,,,
